Date,Open,High,Low,Close,Adj Close,Volume
2021-02-01,235.059998,242.500000,232.429993,239.649994,232.951492,33314200
2021-02-02,241.300003,242.309998,238.690002,239.509995,232.815414,25916300
2021-02-03,239.570007,245.089996,239.259995,243.000000,236.207870,27158100
2021-02-04,242.660004,243.240005,240.369995,242.009995,235.245529,25296100
2021-02-05,242.229996,243.279999,240.419998,242.199997,235.430237,18054800
2021-02-08,243.149994,243.679993,240.809998,242.470001,235.692657,22211900
2021-02-09,241.869995,244.759995,241.380005,243.770004,236.956345,23565000
2021-02-10,245.000000,245.919998,240.889999,242.820007,236.032898,22186700
2021-02-11,244.779999,245.149994,242.149994,244.490005,237.656204,15751100
2021-02-12,243.929993,245.300003,242.729996,244.990005,238.142258,16561100
2021-02-16,245.029999,246.130005,242.919998,243.699997,236.888306,26728500
2021-02-17,241.320007,244.309998,240.940002,244.199997,237.920990,21653500
2021-02-18,241.800003,243.929993,240.860001,243.789993,237.521576,16925600
2021-02-19,243.750000,243.860001,240.179993,240.970001,234.774063,25262600
2021-02-22,237.419998,237.929993,232.399994,234.509995,228.480164,36446900
2021-02-23,230.330002,234.830002,228.729996,233.270004,227.272049,30228700
2021-02-24,230.009995,235.199997,229.000000,234.550003,228.519180,26339700
2021-02-25,232.080002,234.589996,227.880005,228.990005,223.102112,39542200
2021-02-26,231.529999,235.369995,229.539993,232.380005,226.404922,37819200
2021-03-01,235.899994,237.470001,233.149994,236.940002,230.847702,25324000
2021-03-02,237.009995,237.300003,233.449997,233.869995,227.856644,22812500
2021-03-03,232.160004,233.580002,227.259995,227.559998,221.708908,34029500
2021-03-04,226.740005,232.490005,224.259995,226.729996,220.900192,44727800
2021-03-05,229.520004,233.270004,226.460007,231.600006,225.644974,41872800
2021-03-08,231.369995,233.369995,227.130005,227.389999,221.543259,35267400
2021-03-09,232.880005,235.380005,231.669998,233.779999,227.768967,33080500
2021-03-10,237.000000,237.000000,232.039993,232.419998,226.443893,29746800
2021-03-11,234.960007,239.169998,234.309998,237.130005,231.032837,29907600
2021-03-12,234.009995,235.820007,233.229996,235.750000,229.688278,22653700
2021-03-15,234.960007,235.190002,231.809998,234.809998,228.772476,26034900
2021-03-16,236.279999,240.059998,235.940002,237.710007,231.597916,28092200
2021-03-17,236.149994,238.550003,233.229996,237.039993,230.945114,29562100
2021-03-18,232.559998,234.190002,230.330002,230.720001,224.787643,34833000
2021-03-19,231.020004,232.470001,229.350006,230.350006,224.427185,46430700
2021-03-22,230.270004,236.899994,230.139999,235.990005,229.922119,30127000
2021-03-23,237.490005,241.050003,237.070007,237.580002,231.471237,31638400
2021-03-24,237.850006,238.000000,235.320007,235.460007,229.405792,25620100
2021-03-25,235.300003,236.940002,231.570007,232.339996,226.365967,34061900
2021-03-26,231.550003,236.710007,231.550003,236.479996,230.399521,25479900
2021-03-29,236.589996,236.800003,231.880005,235.240005,229.191422,25227500
2021-03-30,233.529999,233.850006,231.100006,231.850006,225.888596,24792000
2021-03-31,232.910004,239.100006,232.389999,235.770004,229.707764,43623500
2021-04-01,238.470001,242.839996,238.050003,242.350006,236.118607,30338000
2021-04-05,242.759995,249.960007,242.699997,249.070007,242.665817,36910600
2021-04-06,247.610001,249.399994,246.880005,247.860001,241.486938,22931900
2021-04-07,247.809998,250.929993,247.190002,249.899994,243.474442,22719800
2021-04-08,252.770004,254.139999,252.000000,253.250000,246.738327,23625200
2021-04-09,252.869995,255.990005,252.440002,255.850006,249.271484,24326800
2021-04-12,254.710007,257.670013,254.619995,255.910004,249.329941,27148700
2021-04-13,257.260010,259.190002,256.829987,258.489990,251.843582,23837500
2021-04-14,257.480011,258.829987,255.160004,255.589996,249.018158,23070900
2021-04-15,257.929993,259.929993,257.730011,259.500000,252.827621,25627500
2021-04-16,259.470001,261.000000,257.600006,260.739990,254.035751,24878600
2021-04-19,260.190002,261.480011,257.820007,258.739990,252.087204,23209300
2021-04-20,257.820007,260.200012,256.839996,258.260010,251.619522,19722900
2021-04-21,258.940002,260.679993,257.250000,260.579987,253.879837,24030400
2021-04-22,260.209991,261.779999,255.639999,257.170013,250.557556,25606200
2021-04-23,257.880005,261.510010,257.269989,261.149994,254.435226,21462600
2021-04-26,261.660004,262.440002,260.170013,261.549988,254.824905,19763300
2021-04-27,261.579987,263.190002,260.119995,261.970001,255.234085,31014200
2021-04-28,256.079987,256.540009,252.949997,254.559998,248.014633,46903100
2021-04-29,255.460007,256.100006,249.000000,252.509995,246.017365,40589000
2021-04-30,249.740005,253.080002,249.600006,252.179993,245.695831,30945100
2021-05-03,253.399994,254.350006,251.119995,251.860001,245.384079,19626600
2021-05-04,250.970001,251.210007,245.759995,247.789993,241.418716,32756100
2021-05-05,249.059998,249.500000,245.820007,246.470001,240.132660,21901300
2021-05-06,246.449997,249.860001,244.690002,249.729996,243.308853,26491100
2021-05-07,252.149994,254.300003,251.169998,252.460007,245.968643,27032900
2021-05-10,250.869995,251.729996,247.119995,247.179993,240.824417,29299900
2021-05-11,244.550003,246.600006,242.570007,246.229996,239.898819,33641600
2021-05-12,242.169998,244.380005,238.070007,239.000000,232.854736,36684400
2021-05-13,241.800003,245.600006,241.419998,243.029999,236.781113,29624300
2021-05-14,245.580002,249.179993,245.490005,248.149994,241.769455,23901100
